Symbol,Description,Local Symbol,IPO Date,Category1,Category2,Category3,GICS Sector,ISIN,SEDOL,Market Cap,Currency,Actions
TT:3691,GIGA SOLAR MATERIALS CORP,3691,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003691002,B5BTL30,0,TWD,Analyze
TT:4105,TTY BIOPHARM LTD,4105,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,TW0004105002,6397870,0,TWD,Analyze
TT:4123,CENTER LABORATORIES INC,4123,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,TW0004123005,6690836,0,TWD,Analyze
TT:4128,MICROBIO LTD,4128,1/23/2022,Global Equity,Common stocks,Emerging markets,Household & Personal Products,TW0004128004,B050S66,0,TWD,Analyze
TT:4147,TAIMED BIOLOGICS INC,4147,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,TW0004147004,B3PSSB6,0,TWD,Analyze
TT:4157,TAIGEN BIOPHARMACEUTICALS LTD,4157,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,KYG866171005,BDC7PZ9,0,TWD,Analyze
TT:4162,PHARMAENGINE INC,4162,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,TW0004162003,B6THYG7,0,TWD,Analyze
TT:4174,OBI PHARMA INC,4174,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,TW0004174008,B8N9QP6,0,TWD,Analyze
TT:4180,TWI PHARMACEUTICALS INC,4180,1/23/2022,Global Equity,Common stocks,Emerging markets,Unknown,TW0004180005,B927VK8,0,TWD,Analyze
TT:4401,TOUNG LOONG TEXTILE MFG LTD,4401,1/23/2022,Global Equity,Common stocks,Emerging markets,Consumer Durables & Apparel,TW0004401005,6898812,0,TWD,Analyze
TT:4947,On-Bright Electronics Co. Ltd.,4947,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,KYG675291002,B6RYW99,0,TWD,Analyze
TT:4966,PARADE TECHNOLOGIES LTD,4966,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,KYG6892A1085,B6RV676,0,TWD,Analyze
TT:4971,IntelliEPI Inc. (Cayman),4971,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,,0,TWD,Analyze
TT:5009,GLORIA MATERIAL TECHNOLOGY CORP,5009,1/23/2022,Global Equity,Common stocks,Emerging markets,Materials,TW0005009005,6131272,0,TWD,Analyze
